student_name,course_name,Score
Darron Ebert,Integration,80.3080158367273
Mr. Tracy Hudson,Interactions,64.26809725932951
Lina Purdy,Security,76.15596738679908
Dr. Taurean Yost,Functionality,74.70233511663598
Mrs. Baron Schmitt,Branding,78.21584540372756
Gladys Powlowski,Accounts,76.16508052475871
Wallace Macejkovic,Directives,78.79699677417112
Dexter McClure,Accountability,71.88532805100799
Mr. Frank Zieme,Assurance,75.58608917371792
Dr. Blanche Treutel,Brand,62.72171433943008
Samantha Leffler,Integration,71.80092721997086
Mr. Jairo Hirthe,Data,88.90833548176643
Arturo Hegmann,Intranet,78.18808339628256
Dr. Dianna Batz,Branding,74.79078962616923
Mya Effertz III,Branding,93.96123276254346
Shirley Reynolds,Accountability,61.39165021698921
Leticia Cummings DVM,Infrastructure,63.9054444455378
Patsy Cremin,Operations,92.12711411276273
Crystal Boyer,Accounts,75.45960936048934
Kristine Ortiz,Usability,72.57416963710206
Ronald Quigley MD,Optimization,63.00795674904357
Benjamin Rogahn,Group,79.47696266395012
Charlene Walker,Solutions,80.44459869527462
Miss Cora Wisoky,Configuration,64.05505639165104
Alison Jones,Security,73.59724414449572
Clinton Shields,Factors,71.64484167966934
Hector Gusikowski,Solutions,77.5597714641877
Emelie Denesik Jr.,Intranet,63.80749757779356
Desiree Marks-Batz,Security,87.51947454513157
Domingo Windler DDS,Accounts,84.15823781597604
Marvin Schaefer MD,Identity,71.36824441267184
Mr. Gerald Barrows,Intranet,72.83581288361628
Fay Lang,Markets,73.63577849722384
Mr. Dominic Schowalter Sr.,Applications,67.21691446993496
Melvin Ebert,Communications,70.56570581764964
Michele Davis,Quality,72.2972963232539
Herbert Muller,Infrastructure,91.12868370707127
Sheryl Weber,Accounts,84.46618308330437
Mr. Bradford Smitham,Intranet,84.34654707336624
Dina Simonis,Metrics,78.6992561300439
Remington Orn,Applications,63.82672991068765
Cheryl Bernier,Creative,74.58508895422621
Rosemary Grady,Marketing,84.7048845961338
Madaline Marvin,Factors,62.41735370632712
Roger Gutmann,Infrastructure,81.36553206873265
Collin Quitzon,Mobility,98.22609225262767
Joanna Olson PhD,Communications,85.61816645989731
Dayne Hoppe,Intranet,89.14029135561988
Gilda Macejkovic,Data,77.1833875044216
Bell Bashirian,Tactics,84.6793194876499
Isaac Mann,Markets,67.82146785645965
Zachariah Dickinson,Integration,82.95863812341227
Judith Stamm,Metrics,81.54388134060763
Henrietta Harvey,Accounts,77.89911174037663
Randolph Quitzon,Directives,88.16007419718498
Arturo Effertz,Assurance,69.61215162152611
Katlynn Reichert,Configuration,73.12942483526338
Reinhold Bins,Research,75.95462041358297
Sheryl Kohler MD,Operations,64.703890289106
Sonia Stiedemann,Brand,77.26931943800248
Steven Dibbert,Implementation,57.81069587046153
Mildred Johnson,Infrastructure,85.4695453442821
Heather Carter,Solutions,75.46637366565966
Wesley Carroll,Security,69.79107096096237
Mandy Smith,Web,66.65626387704879
Bruce Jacobson,Communications,72.65420970380812
Winfield Skiles,Solutions,81.88259710772414
Ms. Jo Cremin,Markets,80.4773897873756
Daniel Wisoky-Grady,Creative,67.94462052721539
Eric Klocko,Marketing,66.53960327372366
Mr. Kent Champlin V,Identity,81.56898706319647
Bonnie Jacobson,Branding,67.7765259538497
Mrs. Joyce D'Amore,Implementation,75.59909774079503
Alton Spinka,Quality,76.23754642524277
Ms. Hollie Balistreri Jr.,Optimization,78.12062131726738
Mrs. Roxanne Stiedemann,Functionality,83.58270430181872
Ms. Roberta Nader,Program,62.37037063132677
Mr. Micheal O'Kon,Usability,55.88840674739512
Pablo Dickens,Program,69.32552718771649
Ferne Ebert,Solutions,93.01528407832186
Reba Nolan,Research,95.22174100087378
Kerry Muller,Web,93.31177135565888
Reese Lueilwitz,Applications,73.0701863223931
Tomas Bayer I,Usability,57.17884918015172
Elbert Romaguera,Marketing,51.56960898348159
Rudolph Cassin,Configuration,68.8596183845059
Clementine Heller,Brand,73.01926369850639
Donna Klein-Runolfsdottir,Paradigm,88.00625401055959
Mr. Viva Fadel,Creative,83.67805459542446
Christina Ward,Division,77.2740507899162
Eva Gislason,Quality,66.10155229058859
Gillian Gutkowski,Group,65.3922044175511
Ora Denesik,Integration,77.54127687071436
Herbert Franecki-Oberbrunner,Interactions,81.97050978839727
Felipe Barrows,Factors,78.91881262245585
Brielle Powlowski,Identity,64.65402040393346
Norma Casper,Implementation,81.50667628792087
Ressie Ledner III,Integration,79.25910967101412
Ignatius Blick,Security,64.29333593809821
Salvador Mills,Accounts,67.15679029699744
Louise Romaguera,Functionality,81.88495974561566
Chaz Ankunding,Program,72.65492464854108
Ms. Sonya Satterfield,Interactions,90.89147301636457
Mr. Kiera Grant,Factors,80.01129276064576
Yvonne Barton,Configuration,70.1336881181073
Marta Becker,Group,74.89794399609067
Irving Ruecker Sr.,Metrics,75.63383392637718
Jasmine Welch,Markets,67.7160968675829
Mathew Kirlin,Factors,65.87411801822374
Madyson McKenzie,Communications,82.013898938095
Mrs. Nakia Pollich,Accounts,83.45273297042095
Robyn Farrell,Accountability,81.03781469552959
Austyn Bergnaum Jr.,Interactions,90.15318094323801
Malachi Wintheiser,Division,69.58226763988398
Jill Wisoky I,Division,91.7427076607113
Mr. Jermey Brown,Security,65.99078881445847
Earlene O'Connell,Group,64.87314436631507
Clayton Shanahan,Branding,57.4004111785075
Dr. Sherman Hyatt,Program,70.54204686173183
Angeline Simonis-Keebler,Implementation,69.96277663170547
Adell Pouros,Branding,80.25937280254651
Alyssa Abbott III,Intranet,77.43890941620451
Bob Bradtke-Macejkovic,Research,63.07026628980863
Ann Collier,Division,71.07273761574183
Maryam Sanford,Identity,71.28537978912314
Ciara Cassin,Creative,57.24017753038108
Ona Rogahn,Integration,65.1905327298663
Brigitte Feest,Group,67.29186369385911
Emmitt Olson,Functionality,89.33625019820946
Olga Keebler DVM,Marketing,76.91450715957353
Ida Boyer,Operations,81.62168753947499
Ronnie Watsica,Research,60.01364502850788
Dedric Schmitt,Functionality,86.94214483013992
Modesto Abshire,Division,88.01102063024092
Kendra Nolan,Marketing,55.01655032855374
Emilio Skiles,Branding,67.94683276084152
Wilburn Abernathy,Branding,79.9576557301551
Amanda Klein,Creative,81.44388453538183
Deron Daugherty,Applications,68.21505269512778
Dana Pollich III,Program,71.94500536946347
Miss Nat Erdman I,Quality,69.02618938954858
Roxanne Murray,Quality,76.1041804694612
Miss Dianna Kovacek,Program,86.97178531461913
Velma Williamson,Solutions,67.28957842858796
Vernie Cassin,Paradigm,85.00820497768414
Ignatius Kemmer,Web,67.18327927653112
Lydia Waters,Metrics,66.52372787503116
Kennedy Emmerich PhD,Web,83.18594618343214
Liana Johns,Intranet,84.21936378007616
Dr. Addison O'Keefe PhD,Identity,83.51409936762654
Theron Abshire,Data,61.84202591781859
Pamela VonRueden,Optimization,70.34049021927949
Kiarra Beer,Intranet,83.22988592003321
Dudley Stoltenberg,Solutions,75.41541840563895
Blanca Hauck,Optimization,64.26307153802536
Mariane Fritsch,Marketing,79.58317939125442
Otilia Daniel MD,Program,67.8519274100853
Lance Beier,Creative,92.94524848392211
Jaquelin Maggio,Quality,90.44841462418259
Ardith Kris,Usability,81.04097426355567
Virginie Zemlak,Marketing,88.61006704769774
Ulices Kutch,Applications,75.64791350123382
Mr. Jay Reichert,Brand,82.65437494375016
Mr. Louisa Will,Paradigm,89.77720295302075
Lynn Bednar,Optimization,77.45498681794312
Boyd Osinski-Koss III,Markets,72.44812828485716
Wallace Okuneva Jr.,Communications,57.95378041822885
Mr. Donnie Schmitt,Accounts,74.16866474278505
Allison Cronin,Applications,83.23423184562311
Rufus Shanahan,Markets,84.4563342756763
Rhonda Kertzmann,Infrastructure,80.0436506571841
Demetris Bergnaum,Accountability,69.5870090503776
Gino Wiza,Interactions,55.23178431052409
Jeanne Pouros,Solutions,70.04784901995265
Terence Kling,Paradigm,71.95655128946049
Darrin Murray DDS,Interactions,71.87071032809986
Doreen Greenholt,Optimization,81.18556356977925
Mrs. Vicki Sipes,Metrics,94.85676411014839
Micheal Doyle,Implementation,76.23529201841093
Abigayle Block IV,Solutions,72.83268210843538
Miss Rachel Hickle,Solutions,72.40778186995908
Mrs. Janie Maggio,Interactions,76.24384766907714
Janelle Rippin Sr.,Accounts,66.71706239651601
Tammy Kulas,Assurance,76.20198558746056
Emil Braun,Factors,79.50812336331799
Christine Skiles,Metrics,77.09686063574487
Olivia Schroeder I,Marketing,79.57541934004782
Reggie Wiza II,Applications,79.33747609348535
Mathew Kling,Solutions,57.28103317753556
Lauren Strosin,Directives,81.36870158395404
Fannie West,Configuration,68.28985154337546
Dee Kessler-Stokes MD,Solutions,64.04160836996041
Rhonda Koch,Applications,63.95548172145004
Jeannie Stoltenberg,Research,79.3354161047253
Craig Schamberger,Quality,72.77425072775146
Juanita Kertzmann,Metrics,58.18031216014589
Noah Cassin,Implementation,79.78037815192283
Cristina Dooley,Functionality,60.60391869201172
Vicenta Lueilwitz,Applications,76.3982135851821
Darlene Sipes,Security,77.38498925673053
Sister Welch,Mobility,83.85577081695045
Shanna Metz,Brand,92.81684786466852
Penelope Kiehn,Brand,61.35323674099458
Elliot Veum,Solutions,74.4752614393695
Vita Wuckert,Quality,72.23664704955783
Inez Hane,Configuration,79.33749685960962
Mr. Jules Harber,Intranet,77.15668770933618
Kay Robel,Configuration,71.4745375726338
Roberta Hahn,Identity,70.59097811389145
Ms. Giovanna Lang,Markets,63.83549144815952
Zion Gusikowski,Markets,84.8786158240651
Karen Hyatt,Configuration,79.59204181599529
Ruthe Wisozk,Configuration,84.17768197795138
Ken Grimes,Branding,71.89603863524486
Clayton Witting Sr.,Intranet,68.4316453130557
Earl Hegmann,Research,64.21684933370773
Jesus Roberts,Group,78.5891758374066
Shaun Mante,Program,64.60206775471765
Brittany Douglas,Web,93.4866306896655
Ms. Crystal Witting,Web,61.9235741890656
Madyson Nienow DDS,Implementation,77.73660119212502
Bob Kreiger DVM,Factors,90.66854707213787
Jeanie Williamson,Accountability,80.99089759263809
Esta Connelly PhD,Accountability,76.75673712491779
Shari Jacobi,Accounts,65.31516353038104
Ms. Annette Heathcote,Response,61.18230811432296
Chaz Gulgowski,Division,82.70050108917586
Stuart Dickinson,Directives,90.06147240774946
Diana Maggio,Optimization,70.61150009521829
Tianna Bayer,Response,63.60938492383649
Kenna Durgan DDS,Mobility,50.41830569450981
Nannie Skiles,Accountability,65.19235156337463
Waldo Fisher DVM,Branding,73.8634315750096
Jimmie Bosco DVM,Research,90.99123240836734
Orlo Willms,Security,81.73133692232969
Mariane Effertz,Response,78.05085404706753
Demarcus Batz,Group,70.9988033869887
Claudia Carroll DVM,Tactics,69.16834282744044
Eula Bashirian,Mobility,89.05647597507964
Ivory Hermiston-Sawayn,Brand,77.0073854075839
Spencer Gleason MD,Response,53.97399308078978
Chandler Mann,Response,68.26460352102757
Candice Hammes,Solutions,66.41783968228373
Frankie Reichert IV,Interactions,69.53735990822535
Mr. Dewey Satterfield,Research,80.62910660285085
Chance Senger,Branding,73.9255511820575
Lindsey Emard,Tactics,74.23134592996338
Price Tillman,Configuration,88.13473161325237
Miss Stacey Nicolas,Implementation,68.03538910213311
Doyle Haag,Directives,93.6419952588735
Leone Champlin,Accountability,68.28692408628913
Jerome Lemke,Web,75.89198196612571
Darrin Hintz-Purdy,Accountability,72.18796404597234
Wendell Dare,Quality,76.23419133500961
Enid Heaney Jr.,Marketing,79.4459199507313
Aurore Von,Functionality,79.33835240088877
Rick Hintz,Group,67.4688266937942
Marianna Bode,Communications,63.77085322552429
Amanda Veum,Web,100.0317179090571
Julio Shields,Applications,70.16015660399447
Arnulfo Mante,Paradigm,81.99212438671987
Edd Effertz,Assurance,58.92358689476804
Lonnie Cassin I,Quality,72.20387280095323
Fred Willms,Infrastructure,73.72800616017557
Darryl Pfeffer-Bruen,Factors,79.72815069927833
Dr. Brandyn Olson,Web,47.77545859008061
Mr. Horace Schinner,Identity,76.6614061307833
Mr. Beryl Mosciski,Solutions,63.50258544632107
Dr. Destany Schmidt,Infrastructure,78.24345711194924
Clementina Gorczany,Program,64.63670803161837
Santos Ledner,Brand,66.44517304074418
Salvatore Hills,Optimization,72.26372389606732
Nelson Leffler III,Assurance,64.47670530396805
Louise Goodwin DVM,Branding,70.24465553264645
Dr. Dillan O'Kon,Optimization,63.06624231456685
Efren Walker,Communications,56.66829548301273
Hannah Abbott,Security,85.1795705242936
Valentin Durgan,Accounts,62.03951307176072
Briana Schimmel,Factors,73.21319112392017
Milton Barton,Applications,82.52891081493784
Sonia Herman PhD,Usability,68.85055897483957
Delpha Corkery,Markets,66.74834100254462
Carter Dooley,Web,77.26238088667421
Grace Cole,Optimization,86.17933822727151
Lambert Koch-Jakubowski,Optimization,63.30684734913531
Eric Zulauf,Factors,73.49852167982561
Alvena Zboncak,Assurance,57.67505405032672
Natalie Kerluke,Markets,71.06798996317809
Lindsay Klein V,Creative,75.34204684538075
Christy Wolff,Brand,66.45375358244934
Jay Swaniawski,Optimization,70.43008166174769
Glen Pacocha,Markets,60.91773231692549
Mr. Allen Bogisich,Assurance,75.77078611381494
Ms. Christie Kihn,Factors,85.5569424888315
Lawrence Mraz,Interactions,64.02856130229536
Keara Mayer,Functionality,68.77328233447616
Agustin Dicki,Brand,80.02546246454182
Cortney Kemmer,Intranet,87.12090719322737
Elvie Kilback,Response,60.06810187791069
Warren Armstrong,Quality,73.31215262584051
Dr. Trevor Hackett,Division,77.83130822319525
Delia Padberg,Interactions,73.97943609371153
Mrs. Mabel Glover,Mobility,50.23207933122913
Chester Deckow,Group,80.01090009308771
Marguerite Russel,Communications,90.19336351090644
Raphael Zemlak,Response,76.16661751169504
Ava Haag II,Optimization,64.68893946705737
Randal Lubowitz,Metrics,69.86872753635717
Jeannette Roberts,Paradigm,92.69913067655594
Andres Olson MD,Brand,84.09962540860559
Regina Kuhic,Implementation,81.40026618384329
Savannah Conn,Data,78.56412583534376
Mark Blick,Configuration,68.38862887809027
Philip Zulauf-Mante,Accounts,72.99428819344232
Winston Hartmann,Brand,74.22077264321484
Barry D'Amore PhD,Intranet,80.49574316064444
Lauretta Sporer,Communications,90.08918894266904
Clifford DuBuque Jr.,Creative,86.18338136793128
Charlene Farrell,Interactions,60.80615644203959
Mandy Kerluke IV,Assurance,77.23994968901049
Jack Lehner,Mobility,82.36763345167897
Maude Feeney,Functionality,81.18860330144635
Jasen Veum,Research,68.7076623661258
Mrs. Hollie Weber,Communications,104.1410921576836
Gregory Torp,Functionality,62.22915437668881
Garth Hauck,Quality,64.1681155333395
Lonny Yost,Security,77.33595081261576
Madeline Hamill,Research,96.16803054963853
Alexys Cassin,Interactions,66.6380514929583
Orlo Botsford,Solutions,72.34171634353008
Russell Langosh,Communications,85.77293673015693
Edgar Raynor,Optimization,74.82137845112267
Marie Rempel,Creative,71.65396145469704
Dr. Lula Kris,Tactics,80.6563290188672
Gregg Abshire,Program,77.72517990229593
Tricia Botsford,Program,85.30438785636791
Ms. Faustino Marks,Research,87.91468889065364
Lina Effertz II,Operations,78.07003060005361
Kathy Bauch,Group,77.91732725378309
Geneva Ledner,Intranet,77.14110982286134
Vivian Cartwright,Applications,79.89130556649287
Eva Fay Sr.,Creative,75.55170637871464
Onie Rosenbaum,Accounts,74.99391517677711
Bryant Weber,Operations,86.96627120827242
Dannie Hammes,Intranet,90.16116180355043
Easter Prosacco,Brand,59.92447055366579
Clifford Towne,Directives,75.1002115174057
Pam Schiller Jr.,Paradigm,68.11305566554765
Ada Rutherford,Operations,71.89028533513928
Blair Waters,Identity,79.02516209735322
Grayce Huels,Interactions,81.69438371542468
Marcos Renner,Mobility,73.87873556388655
Lindsey Russel,Research,55.86659665277197
Sherman Powlowski,Infrastructure,65.3495441942382
Dr. Debbie Kris,Implementation,83.96499670200166
Mrs. Bridget Sanford,Communications,47.59573577965069
Cathryn Ratke,Branding,86.87427151682
Virgil Rosenbaum,Functionality,80.21229990644541
Alan Luettgen,Operations,88.16176081530023
Amos Goodwin,Usability,73.01430813119039
Mr. Israel DuBuque-Weissnat,Functionality,54.38594575977095
Cade Kuvalis,Functionality,79.30362641506498
Clyde Christiansen,Branding,87.7465312403834
Amanda Gibson,Intranet,84.24721805513421
Mr. Maudie Little,Web,68.37308516511965
Ray Rice DDS,Research,75.86761075462647
Steve Marks,Identity,69.67163731220076
Georgiana Stark,Data,66.80733535810629
Elton Kuhn DVM,Markets,84.55388571179851
Joshuah Kilback,Integration,63.02467688734838
Shari Kovacek,Response,66.06183569418387
Mr. Santiago Morissette V,Factors,63.95974366527614
Antonia Homenick,Identity,60.09752476700953
Ron Goyette,Division,76.46414291842603
Kaley O'Conner,Data,86.61503048481975
Daniel Jacobs,Group,73.15123243754735
Bruce Hegmann,Communications,59.94252199435834
Kristi Marvin,Integration,83.39944539742028
Amiya Wyman,Metrics,91.85701754034972
Camille Murray,Interactions,68.53757675853406
Carole Langworth,Factors,70.21445733282282
Jovanny Breitenberg,Metrics,80.15660630083394
Adelia Gleason,Markets,91.21873747785051
Mr. Alfredo Turcotte,Tactics,69.80165854274775
Verna Lemke V,Infrastructure,61.67550219001795
Jennifer Simonis,Branding,81.31418606272406
Eddie Kihn,Data,82.990680731423
Garry Prosacco,Operations,75.06131450435227
Frankie Stoltenberg,Usability,69.41866740342549
Teresa Koch,Assurance,84.94378730992047
