ID,Name,Age,Department,Salary,JoinDate,Gender,HasCar
1,Alice,25,HR,50000,2021-03-15,F,0
2,Bob,30,IT,60000,2020-08-21,M,0
3,Charlie,28,Finance,55000,2019-11-05,M,1
4,Diana,35,Marketing,70000,2018-07-10,F,0
5,Ethan,40,IT,80000,2017-02-25,M,0
6,Fiona,26,HR,52000,2022-01-18,F,1
7,George,32,Finance,57000,2021-06-14,M,0
8,Hannah,29,Marketing,71000,2020-09-10,F,1
9,Ian,31,IT,62000,2019-03-20,M,1
10,Jane,27,HR,53000,2022-04-11,F,0
11,Kevin,33,Finance,58000,2020-12-01,M,1
12,Laura,34,Marketing,73000,2018-06-06,F,1
13,Mike,36,IT,64000,2021-07-19,M,1
14,Nina,24,HR,51000,2022-02-28,F,0
15,Oscar,38,Finance,59000,2020-05-15,M,1
16,Paula,45,Marketing,74000,2017-11-09,F,0
17,Quinn,23,IT,66000,2023-03-23,M,1
18,Rachel,37,HR,54000,2021-09-30,F,0
19,Steve,41,Finance,60000,2016-01-15,M,0
20,Tina,22,Marketing,75000,2023-06-05,F,1
